iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,l2_dimension
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2024,13.3042,,,Recent (≤5 years),0,Minimum Acceptable Diet,Diets & Care (IYCF)
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2024,22.2748,,,Recent (≤5 years),0,Minimum Dietary Diversity,Diets & Care (IYCF)
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2024,43.5868,,,Recent (≤5 years),0,Minimum Meal Frequency,Diets & Care (IYCF)
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,76.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,60.4,,,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,79.8,,,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2024,61.2868,,,Recent (≤5 years),0,Early Initiation of BF,Diets & Care (IYCF)
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,53.8249,,,Recent (≤5 years),0,Exclusive BF <6m,Diets & Care (IYCF)
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2024,14.0672,,,Recent (≤5 years),0,Minimum Acceptable Diet,Diets & Care (IYCF)
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2024,21.8533,,,Recent (≤5 years),0,Minimum Dietary Diversity,Diets & Care (IYCF)
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2024,49.585,,,Recent (≤5 years),0,Minimum Meal Frequency,Diets & Care (IYCF)
AUREC_EAC,East African Community (EAC),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,79.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_EAC,East African Community (EAC),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,57.2,,,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AUREC_EAC,East African Community (EAC),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,85.9,,,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_EAC,East African Community (EAC),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2024,65.0098,,,Recent (≤5 years),0,Early Initiation of BF,Diets & Care (IYCF)
AUREC_EAC,East African Community (EAC),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,59.4807,,,Recent (≤5 years),0,Exclusive BF <6m,Diets & Care (IYCF)
AUREC_EAC,East African Community (EAC),NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2024,10.9494,,,Recent (≤5 years),0,Minimum Acceptable Diet,Diets & Care (IYCF)
AUREC_EAC,East African Community (EAC),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2024,18.9743,,,Recent (≤5 years),0,Minimum Dietary Diversity,Diets & Care (IYCF)
AUREC_EAC,East African Community (EAC),NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2024,40.8344,,,Recent (≤5 years),0,Minimum Meal Frequency,Diets & Care (IYCF)
AUREC_ECCAS,Economic Community of Central African States (ECCAS),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,69.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_ECCAS,Economic Community of Central African States (ECCAS),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,50.3,,,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AUREC_ECCAS,Economic Community of Central African States (ECCAS),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,79.9,,,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2024,55.8239,,,Recent (≤5 years),0,Early Initiation of BF,Diets & Care (IYCF)
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,45.7325,,,Recent (≤5 years),0,Exclusive BF <6m,Diets & Care (IYCF)
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2024,11.6337,,,Recent (≤5 years),0,Minimum Acceptable Diet,Diets & Care (IYCF)
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2024,18.8143,,,Recent (≤5 years),0,Minimum Dietary Diversity,Diets & Care (IYCF)
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2024,34.7417,,,Recent (≤5 years),0,Minimum Meal Frequency,Diets & Care (IYCF)
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,75.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,60.2,,,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,61.9,,,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2024,38.8503,,,Recent (≤5 years),0,Early Initiation of BF,Diets & Care (IYCF)
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,33.9591,,,Recent (≤5 years),0,Exclusive BF <6m,Diets & Care (IYCF)
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2024,8.4197,,,Recent (≤5 years),0,Minimum Acceptable Diet,Diets & Care (IYCF)
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2024,18.454,,,Recent (≤5 years),0,Minimum Dietary Diversity,Diets & Care (IYCF)
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2024,37.5535,,,Recent (≤5 years),0,Minimum Meal Frequency,Diets & Care (IYCF)
AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS 2025),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,72.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,73.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,56.4,,,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,70.3,,,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2024,70.6292,,,Recent (≤5 years),0,Early Initiation of BF,Diets & Care (IYCF)
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,55.9656,,,Recent (≤5 years),0,Exclusive BF <6m,Diets & Care (IYCF)
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2024,14.3477,,,Recent (≤5 years),0,Minimum Acceptable Diet,Diets & Care (IYCF)
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2024,18.4353,,,Recent (≤5 years),0,Minimum Dietary Diversity,Diets & Care (IYCF)
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2024,59.9772,,,Recent (≤5 years),0,Minimum Meal Frequency,Diets & Care (IYCF)
AUREC_SADC,Southern African Development Community (SADC),IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,73.0,,,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUREC_SADC,Southern African Development Community (SADC),MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2024,58.7,,,Recent (≤5 years),0,ANC 4+ Visits,Services & Programme Coverage
AUREC_SADC,Southern African Development Community (SADC),MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,83.7,,,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
AUREC_SADC,Southern African Development Community (SADC),NT_BF_EIBF,"Early initiation of breastfeeding within 1 hour, %",Layer 2: Underlying Determinants,2024,61.6899,,,Recent (≤5 years),0,Early Initiation of BF,Diets & Care (IYCF)
AUREC_SADC,Southern African Development Community (SADC),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,53.7976,,,Recent (≤5 years),0,Exclusive BF <6m,Diets & Care (IYCF)
AUREC_SADC,Southern African Development Community (SADC),NT_CF_MAD,"Minimum acceptable diet (6-23 months), %",Layer 2: Underlying Determinants,2024,7.6358,,,Recent (≤5 years),0,Minimum Acceptable Diet,Diets & Care (IYCF)
AUREC_SADC,Southern African Development Community (SADC),NT_CF_MDD,"Minimum dietary diversity >=5/8 food groups (6-23 months), %",Layer 2: Underlying Determinants,2024,17.2834,,,Recent (≤5 years),0,Minimum Dietary Diversity,Diets & Care (IYCF)
AUREC_SADC,Southern African Development Community (SADC),NT_CF_MMF,"Minimum meal frequency (6-23 months), %",Layer 2: Underlying Determinants,2024,34.6938,,,Recent (≤5 years),0,Minimum Meal Frequency,Diets & Care (IYCF)
AUS,Australia,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,93.0,East Asia and Pacific,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUS,Australia,MNCH_ANC4,"ANC 4+ visits coverage, %",Layer 2: Underlying Determinants,2008,92.0,East Asia and Pacific,High income,Outdated (>10 years),16,ANC 4+ Visits,Services & Programme Coverage
AUS,Australia,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2023,98.5,East Asia and Pacific,High income,Recent (≤5 years),1,Skilled Birth Attendance,Services & Programme Coverage
AUT,Austria,IM_DTP3,"DTP3 immunisation coverage, % (proxy for health system reach)",Layer 2: Underlying Determinants,2024,85.0,Europe and Central Asia,High income,Recent (≤5 years),0,DTP3 Immunisation,Services & Programme Coverage
AUT,Austria,MNCH_SAB,"Skilled birth attendance, %",Layer 2: Underlying Determinants,2024,98.7,Europe and Central Asia,High income,Recent (≤5 years),0,Skilled Birth Attendance,Services & Programme Coverage
