iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,progress
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,5.1079,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,45.7325,,,Recent (≤5 years),0,Excl. Breastfeeding,Insufficient progress
AUREC_ECCAS,Economic Community of Central African States (ECCAS),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,12.2137,,,Recent (≤5 years),4,Low Birth Weight,On track
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,40.324,,,Recent (≤5 years),1,Anaemia (WRA),On track
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,29.344,,,Recent (≤5 years),0,Stunting,Off track
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.228,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,33.9591,,,Recent (≤5 years),0,Excl. Breastfeeding,Off track
AUREC_ECOWAS,Economic Community of West African States (ECOWAS),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.7439,,,Recent (≤5 years),4,Low Birth Weight,On track
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,28.8966,,,Recent (≤5 years),1,Anaemia (WRA),On track
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,29.905,,,Recent (≤5 years),0,Stunting,Off track
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,3.4628,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,55.9656,,,Recent (≤5 years),0,Excl. Breastfeeding,Insufficient progress
AUREC_IGAD,Intergovernmental Authority on Development (IGAD),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,14.5933,,,Recent (≤5 years),4,Low Birth Weight,On track
AUREC_SADC,Southern African Development Community (SADC),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,36.9917,,,Recent (≤5 years),1,Anaemia (WRA),On track
AUREC_SADC,Southern African Development Community (SADC),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,36.7457,,,Recent (≤5 years),0,Stunting,Off track
AUREC_SADC,Southern African Development Community (SADC),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,5.197,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUREC_SADC,Southern African Development Community (SADC),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,53.7976,,,Recent (≤5 years),0,Excl. Breastfeeding,Insufficient progress
AUREC_SADC,Southern African Development Community (SADC),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.0548,,,Recent (≤5 years),4,Low Birth Weight,On track
AUS,Australia,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,11.1,East Asia and Pacific,High income,Recent (≤5 years),1,Anaemia (WRA),On track
AUS,Australia,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,3.1005,East Asia and Pacific,High income,Recent (≤5 years),0,Stunting,On track
AUS,Australia,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,26.4308,East Asia and Pacific,High income,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AUS,Australia,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,6.5537,East Asia and Pacific,High income,Recent (≤5 years),4,Low Birth Weight,On track
