iso3,country,year,indicator,indicator_short,layer,value,years_since,region,income_group,nis_readiness_score,layer1_score,layer2_score
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,38.6953,1,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,27.397,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,3.5057,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,NT_BF_EIBF,Early BF Initiation,Layer 2,43.0171,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,NT_BF_EXBF,Excl. BF,Layer 1,33.5011,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2020,NT_BW_LBW,Low Birth Weight,Layer 1,14.5113,4,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,NT_CF_MAD,Min Acceptable Diet,Layer 2,13.3042,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,NT_CF_MDD,Min Dietary Diversity,Layer 2,22.2748,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),2024,NT_CF_MMF,Min Meal Frequency,Layer 2,43.5868,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,IM_DTP3,DTP3 Coverage,Layer 2,76.0,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,60.4,0,,,76.66666666666667,83.33333333333334,70.0
