iso3,country,region,income_group,Anaemia (WRA),Excl. Breastfeeding,Low Birth Weight,Overweight,Stunting
LBR,Liberia,Sub-Saharan Africa,Low income,42.5,55.2284,19.8813,6.0982,26.887
LBY,Libya,Middle East and North Africa,Upper middle income,29.3,,,4.7272,9.1545
LCA,Saint Lucia,Latin America and Caribbean,Upper middle income,19.9,3.497,16.2511,6.7593,2.7981
LKA,Sri Lanka,South Asia,Lower middle income,20.9,80.9288,17.9783,0.9076,10.092
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,34.2,60.7438,14.4474,7.5115,34.9908
LTU,Lithuania,Europe and Central Asia,High income,23.7,,4.3979,4.5955,1.5518
LUX,Luxembourg,Europe and Central Asia,High income,15.4,,7.7499,,
LVA,Latvia,Europe and Central Asia,High income,21.4,,4.2326,6.6324,1.6717
MAR,Morocco,Middle East and North Africa,Lower middle income,29.5,35.0,14.7665,11.1755,13.6869
MDA,Republic of Moldova,Europe and Central Asia,Lower middle income,28.5,36.3703,6.4705,4.0635,4.2028
MDG,Madagascar,Sub-Saharan Africa,Low income,37.2,54.4131,18.7121,2.3351,38.3883
MDV,Maldives,South Asia,Upper middle income,43.4,63.0329,13.7183,3.0498,14.1944
MEX,Mexico,Latin America and Caribbean,Upper middle income,13.2,34.9976,10.1538,7.4357,13.0646
MHL,Marshall Islands,East Asia and Pacific,Upper middle income,23.5,43.1171,,4.6007,29.9566
MKD,North Macedonia,Europe and Central Asia,Upper middle income,21.5,27.519,8.2921,12.2665,3.7789
MLI,Mali,Sub-Saharan Africa,Low income,56.5,40.3986,,1.2956,23.229
MLT,Malta,Europe and Central Asia,High income,15.7,,7.1841,10.1399,3.4926
MMR,Myanmar,East Asia and Pacific,Lower middle income,39.7,51.2379,12.4843,0.6229,24.4791
MNE,Montenegro,Europe and Central Asia,Upper middle income,25.8,19.5167,6.232,8.6033,7.9979
MNG,Mongolia,East Asia and Pacific,Lower middle income,19.1,51.1,4.8965,12.2926,7.0533
MOZ,Mozambique,Sub-Saharan Africa,Low income,47.0,55.5006,17.7602,4.4273,37.022
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,54.5,40.8994,,1.6147,21.485
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,32.8,,18.6944,4.7672,7.7905
MWI,Malawi,Sub-Saharan Africa,Low income,32.4,64.0525,15.5764,4.4442,33.155
MYS,Malaysia,East Asia and Pacific,Upper middle income,31.3,40.3,13.8114,5.2596,24.3234
NAM,Namibia,Sub-Saharan Africa,Upper middle income,24.9,48.3248,15.5815,5.7853,16.4184
NER,Niger,Sub-Saharan Africa,Low income,47.1,24.5068,,2.5859,48.2902
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,37.9,28.7778,,1.6199,33.8114
NIC,Nicaragua,Latin America and Caribbean,Lower middle income,,31.7,,,
NLD,هولندا,Europe and Central Asia,High income,16.5,,5.6518,5.4121,1.6342
NOR,Norway,Europe and Central Asia,High income,16.3,,4.443,,
NPL,Nepal,South Asia,Lower middle income,33.2,56.3988,19.7315,1.7723,26.0291
NRU,Nauru,East Asia and Pacific,High income,22.5,52.7778,,8.1638,16.0314
NZL,New Zealand,East Asia and Pacific,High income,12.4,,5.8572,,
OMN,Oman,Middle East and North Africa,High income,34.4,23.2,13.2359,8.7556,12.9155
PAK,Pakistan,South Asia,Lower middle income,46.5,47.8389,,2.0695,33.5728
PAN,Panama,Latin America and Caribbean,High income,25.5,21.4595,10.2837,10.8623,14.0063
PER,Peru,Latin America and Caribbean,Upper middle income,21.0,70.087,7.4716,9.0269,10.6201
PHL,Philippines,East Asia and Pacific,Lower middle income,12.0,40.8973,21.1441,3.3079,27.7063
PLW,Palau,East Asia and Pacific,High income,25.9,,13.5251,,
PNG,Papua New Guinea,East Asia and Pacific,Lower middle income,28.8,59.6814,19.3803,18.4608,47.5968
POL,Poland,Europe and Central Asia,High income,23.4,,5.6069,8.5559,1.0226
PRK,Democratic People's Republic of Korea,East Asia and Pacific,Low income,27.5,71.4,,3.3478,16.6195
PRT,Portugal,Europe and Central Asia,High income,15.0,,8.9226,9.3611,3.1509
